English,Nepali
msn,MSN
itself,आफै
defined,परिभाषित
papers,कागजात
playing,खेलिरहेको
awards,पुरस्कार
fee,शुल्क
studio,स्टूडियो
reader,पाठक
virtual,भर्चुअल
device,उपकरण
established,स्थापित
answers,उत्तर
rent,भाडामा
las,लस
remote,रिमोट
dark,गाढा
programming,कार्यक्रम
external,बाह्य
apple,स्याऊ
le,Le
regarding,सन्दर्भमा
instructions,निर्देशन
min,मिनेट
offered,प्रस्ताव
theory,सिद्धान्त
enjoy,आनन्द
remove,हटान
aid,सहायता
surface,सतह
minimum,न्यूनतम
visual,दृश्य
host,पाहुना
variety,विभिन्न
teachers,शिक्षकहरू
isbn,ISBN
martin,मार्टिन
manual,मार्गदर्शन
block,ब्लक
subjects,विषयहरू
agents,एजेन्ट
increased,वृद्धि
repair,मरम्मत
fair,निष्पक्ष
civil,नागरिक
steel,इस्पात
understanding,समझ
songs,गीतहरू
fixed,निश्चित
wrong,गलत
beginning,सुरुमा
hands,हात
associates,साथीहरूले
finally,अन्तमा
az,अज
updates,अपडेट
desktop,डेस्कटप
classes,कक्षाहरू
paris,पेरिस
ohio,ओहियो
gets,हुन्छ
sector,क्षेत्र
capacity,क्षमता
requires,आवश्यक
jersey,जर्सी
un,संयुक्त राष्ट्र
fat,मोटो
fully,पूर्णतया
father,बुबा
electric,बिजुली
saw,देख्यो
instruments,साधन
quotes,उद्धरण
officer,अधिकारी
driver,चालक
businesses,कारोबार
dead,मृत
respect,आदर
unknown,अज्ञात
specified,निर्दिष्ट
restaurant,रेस्टुरेन्ट
mike,माइक
trip,यात्रा
pst,pst
worth,लायक
mi,मील
procedures,प्रक्रियाहरु
poor,गरिब
teacher,शिक्षक
eyes,आँखा
relationship,सम्बन्ध
workers,कामदारहरूको
farm,खेत
georgia,Georgia
peace,शान्ति
traditional,परम्परागत
campus,क्याम्पस
tom,टम
showing,देखाउने
creative,रचनात्मक
coast,तट
benefit,लाभ
progress,प्रगति
funding,कोष
devices,उपकरणहरू
lord,प्रभु
grant,अनुदान
sub,उप
agree,सहमत
fiction,कल्पना
hear,सुन्छ
sometimes,कहिलेकाहीं
watches,हेर्छ
careers,करियर
beyond,बाहिर
goes,जान्छ
families,परिवार
led,लिड
museum,संग्रहालय
themselves,आफूलाई
fan,प्रशंसक
transport,परिवहन
interesting,रोचक
blogs,ब्लग
wife,पत्नी
evaluation,मूल्यांकन
accepted,स्वीकृत
former,पूर्व
implementation,कार्यान्वयन
ten,दस
hits,हिट
zone,क्षेत्र
complex,जटिल
th,th
cat,बिरालो
galleries,ग्यालरीमा
references,सन्दर्भ
die,मर्न
presented,प्रस्तुत
jack,ज्याक
flat,समतल
flow,प्रवाह
agencies,एजेन्सीहरू
literature,साहित्य
respective,सम्बन्धित
parent,अभिभावक
spanish,स्पेनिश
michigan,मिशिगन
columbia,कोलम्बिया
setting,सेटिङ
dr,ड
scale,मात्रा
stand,खडा
economy,अर्थव्यवस्था
highest,उच्चतम
helpful,सहयोगी
monthly,मासिक
critical,महत्वपूर्ण
frame,फ्रेम
musical,सांगीतिक
definition,परिभाषा
secretary,सचिव
angeles,एन्जलस
networking,नेटवर्किंग
path,बाटो
australian,अष्ट्रेलियाली
employee,कर्मचारी
chief,मुख्य
gives,दिन्छ
kb,केबी
bottom,तल
magazines,पत्रिका
packages,प्याकेजहरू
detail,विस्तार
francisco,फ्रान्सिस्को
laws,कानुन
changed,परिवर्तन
pet,पाल्तु जनावर
heard,सुना
begin,सुरु
individuals,व्यक्तिहरूलाई
colorado,कोलोराडो
royal,शाही
clean,सफा
switch,स्विच
russian,रूसी
largest,सबै भन्दा ठूलो
african,अफ्रीकी
guy,मान्छे
titles,शीर्षक
relevant,सान्दर्भिक
guidelines,निर्देशन
justice,न्याय
connect,जडान
bible,बाइबल
dev,देव
cup,कप
basket,टोकरी
applied,लागू गरिएको
weekly,साप्ताहिक
vol,Vol
installation,स्थापना
described,वर्णन
demand,माग
pp,पृ
suite,सुइट
vegas,भेगास
na,NA
square,वर्ग
chris,क्रिस
attention,ध्यान
advance,अग्रिम
skip,छोड्न
diet,आहार
army,सेना
auction,लिलामी
gear,गियर
lee,ली
os,OS
difference,फरक
allowed,अनुमति
correct,सही
charles,चार्ल्स
nation,राष्ट्र
selling,बिक्री
lots,धेरै
piece,टुक्रा
sheet,पाना
firm,दृढ
seven,सात
older,पुरानो
illinois,इलिनोइस
regulations,नियमहरु
elements,तत्व
species,प्रजाति
jump,जम्प
cells,कक्षहरू
module,मोड्युल
resort,रिसोर्टमा
facility,सुविधा
random,अनियमित
pricing,मूल्य निर्धारण
dvds,डीभिडी
certificate,प्रमाणपत्र
minister,मन्त्री
motion,गति
looks,लग
fashion,फेसन
directions,दिशा निर्देशन
visitors,आगंतुकों
documentation,दस्तावेज
monitor,मनिटर
trading,व्यापार
forest,जङ्गल
calls,कल
whose,जसको
coverage,कभरेज
couple,जोडी
giving,दिने
chance,मौका
vision,दृष्टि
ball,बल
ending,समाप्त
clients,ग्राहकहरु
actions,कार्यहरू
